,Description
322,The @warriors take a 1-0 series lead over the @houstonrockets with 104-100 home win! #NBAPlayoffs
323,?? Big plays down the stretch from @houstonrockets & @warriors in Game 1! #NBAPlayoffs ??
324,@stephencurry30 in the CLUTCH as @warriors win Game 1! #NBAPlayoffs
325,@easymoneysniper protects the paint for the @warriors! #NBAPlayoffs #NBAonABC
326,Back-to-back @houstonrockets transition threes to tie Game 1 at 53-53 at the half! #NBAPlayoffs #NBAonABC
327,The @celtics take a 1-0 series lead over the @bucks with 112-90 road victory! #NBAPlayoffs
328,@alhorford protects the paint for the @celtics! #NBAPlayoffs #NBAonABC
329,@kyrieirving goes to work on the block! #NBAPlayoffs #NBAonABC
330,"Who’s your SUPER HERO??
...
#NationalSuperHeroDay
#NBAPlayoffs
#NBAonABC"
331,The Conference Semis continue with @celtics/@bucks and @houstonrockets/@warriors series openers! #NBAPlayoffs #NBAonABC
332,"Nikola Jokic came to play in GAME 7 with 21 points, 15 rebounds & 10 assists for the @nuggets! #NBAPlayoffs"
333,The @nuggets win GAME 7 90-86 to advance to the Western Conference Semis! #NBAPlayoffs
334,@jmglitxh27 tosses in the clutch runner in the @nuggets GAME 7 victory! #NBAPlayoffs
335,Nikola Jokic notches the GAME 7 triple-double with 21p/15r/10a for the @nuggets! #TripleDoubleAlert
336,@jmglitxh27 gets it to fall for the @nuggets in GAME 7!
337,Kawhi protects home for the @raptors in Game 1! #NBAPlayoffs #PhantomCam
338,Look at that angle! #NBAPlayoffs (??: @nbaontnt)
339,The @raptors take 1-0 series lead over the @sixers with 108-95 victory at home! #NBAPlayoffs
340,"Kawhi with the SWAT, @pskills43 with the SLAM! #NBAPlayoffs (??: @nbaontnt)"
341,"?? Meet Nikola Jokic! ?? ...
??: GAME 7
?: 10:00pm/et
??: @nbaontnt"
342,??27 in the first-half for Kawhi on TNT??
343,Kawhi spins off the dribble for the @raptors! #NBAPlayoffs (??: @nbaontnt)
344,@joelembiid to the rack! #NBAPlayoffs (??: @nbaontnt)
345,"@kyle_lowry7 off the window, plus the foul on TNT! #NBAPlayoffs"
346,???? The KLAW & the @raptors open the Eastern Conference Semis hosting Philadelphia (7:30pm/et @nbaontnt)! #NBAPlayoffs
347,Heroes are among us. The new @damianlillard adidas x Marvel Black Panther Dame 5 just dropped @footlocker! #BecauseSneakers
348,The @sixers/@raptors Eastern Conference Semis open up 7:30pm/et tonight @nbaontnt! #NBAPlayoffs
349,GAME 7.... you got the @spurs or @nuggets?
350,The current #NBAPlayoffs bracket!
351,The @warriors advance to the Western Conference Semis with 129-110 victory in LA! #NBAPlayoffs
352,@money23green records his 5th career #NBAPlayoffs triple-double for the @warriors with 16p/14r/10a! #TripleDoubleAlert
353,@easymoneysniper’s up to 50 with this and-one on ESPN! #NBAPlayoffs
354,?? how @easymoneysniper got his 38 first-half points on ESPN! #NBAPlayoffs
355,?? 38 for @easymoneysniper at the half on ESPN ??#NBAPlayoffs
356,"@easymoneysniper fades, plus the foul on ESPN! #NBAPlayoffs"
357,@klaythompson with the denial & @easymoneysniper with the dunk on ESPN! #NBAPlayoffs
358,@stephencurry30 & the @warriors look to advance with a win (10pm/et ESPN)! #NBAPlayoffs
359,"@trezz24 on both ends for the @laclippers! #NBABreakdown
...
??: @warriors/@laclippers G6
?: 10pm/et ??: ESPN"
360,Heroes are among us. The new @jharden13 adidas x Marvel Iron Man Harden Vol. 3 just dropped @footlocker! #BecauseSneakers
361,Will the @warriors win & advance.. or will the @laclippers win & force a Game 7?
362,"“John Havlicek was a wonderful friend who represented the best of the NBA.  He described himself as a man of routine and discipline – a humble approach that produced extraordinary results, including eight NBA championships with the Boston @Celtics, 13 All-Star selections and some of the most iconic moments in league history.  A trusted teammate who prioritized winning, John’s passion and energy endeared him to basketball fans and made him a model for generations of NBA players.  We send our deepest sympathies to John’s wife, Beth, his son, Chris, and his daughter, Jill, as well as the entire @Celtics organization.” - @adamsilvernba"
363,The @spurs force a GAME 7 with the @nuggets on 120-103 victory at home! #NBAPlayoffs
364,Box out the shooter! #NBAPlayoffs
365,@demar_derozan dimes it to @jakob early on TNT for the @spurs! #NBAPlayoffs
366,"In @BudweiserUSA #LegendaryMoments history we take a look at Steve Kerr... Coming off the Spurs bench, Steve Kerr buries 4 threes to close out Dallas in Game 6 of the 2003 Western Conference Finals! Who do you have in Game 6 between the @Nuggets and @Spurs?"
367,"Ahead of tonight’s #NBAPlayoffs action (8:00pm/et TNT), we showcase @jmglitxh27’s off-court style! #GameChangers"
368,?? the NBA’s Most Popular Jersey list... based on @nbastore sales for 2018-19 regular season! (TAP to SHOP)
369,It’s WIN or Go Home for the @spurs as the @nuggets look to advance... 8:00pm/et @nbaontnt!
370,The @houstonrockets (4-1) advance & the @laclippers (2-3) force a Game 6 in Wednesday’s #NBAPlayoffs action!
371,The @laclippers fight for another day! #NBAPlayoffs
372,The @laclippers force a Game 6 with 129-121 victory over the @warriors in Oakland! #NBAPlayoffs
373,@easymoneysniper jam & @louwillville 4-point play... back-and-forth action late in Game 5! #NBAPlayoffs
374,@louwillville with the hesi to set up @trezz24! #NBAPlayoffs (??: @nbaontnt)
375,@trezz24 with the MONSTER SLAM for the @laclippers! #NBAPlayoffs (??: @nbaontnt)
376,@louwillville gets to the bucket late in the 2nd for the @laclippers on TNT! #NBAPlayoffs
377,The @houstonrockets advance to the Western Conference Semis with 100-93 victory at home! #NBAPlayoffs
378,@jharden13 records the late steal & the @houstonrockets advance to the Western Conference Semifinals! #NBAPlayoffs
379,@ccapela15’s block sets up the @houstonrockets in transition! #NBAPlayoffs (??: @nbaontnt)
380,Are you rolling with the @utahjazz or @houstonrockets on Game 5 (@nbaontnt)?
381,"@klaythompson attracts the defense & @andrewbogut slips to the rim! #NBABreakdown
...
??: @laclippers/@warriors G5
?: 10:30pm/et
??: @nbaontnt"
382,It’s WIN or Go Home for the @utahjazz & @laclippers.. as the @houstonrockets & @warriors look to advance! #NBAPlayoffs
383,?? all the ?? angles of @damianlillard’s #TissotBuzzerBeater for the @trailblazers win! #ThisIsYourTime ????
384,"The @raptors (4-1), @sixers (4-1) & @trailblazers (4-1) each advance... while the @nuggets take 3-2 series lead... in Tuesday’s #NBAPlayoffs action!"
385,"Poetry in motion... @damianlillard’s @trailblazers winner, through the lens of our slo-mo #PhantomCam!"
386,What a fantastic finish in Portland as the @trailblazers advance on @damianlillard’s heroics! #NBAPlayoffs
387,"""Sometimes it's your turn to go through something, and when you keep fighting, and keep working through it, and stay together... there's a reward waiting for you."" @damianlillard #NBAPlayoffs"
388,?? @damianlillard calls SERIES for the @trailblazers with the stepback triple for 50! #TissotBuzzerBeater #ThisIsyourTime
389,"@damianlillard advances the @trailblazers and becomes the only player in #NBAPlayoffs history to record a stat line of at least 50 PTS, 5 REB, 5 AST & 10+ 3PM!"
390,@damianlillard (50 PTS) buries the #TissotBuzzerBeater and the @trailblazers advance to the Western Conference Semifinals! #ThisIsYourTime #NBAPlayoffs
391,Congrats to @russwest44 of the @okcthunder for moving up to 4th on the #NBAPlayoffs TRIPLE-DOUBLE list!
392,Logo Lillard strikes to open the 3rd! #NBAPlayoffs (??: @nbaontnt)
393,The @nuggets take 3-2 series lead over the @spurs with 108-90 victory at home! #NBAPlayoffs
394,@damianlillard has 34... at the half! (??: @nbaontnt)
395,@damianlillard is feelin’ it early from deep! #NBAPlayoffs (??: @nbaontnt)
396,The @sixers advance to the Eastern Conference Semis with 122-100 victory at home! #NBAPlayoffs
397,@russwest44 threads the needle to @stevenadams on TNT! #NBAPlayoffs
398,@jmglitxh27 hangs & finishes! #NBAPlayoffs (??: @nbatv)
399,The @raptors advance to the Eastern Conference Semis with 115-96 victory at home! #NBAPlayoffs
400,@dwhite921 spins in for the @spurs bucket on @nbatv! #NBAPlayoffs
401,@bensimmons closes out the first quarter on TNT with a ??
402,@normanpowell4 takes it with authority for the @raptors on @nbatv! #NBAPlayoffs
403,"@bensimmons hustles back for the @sixers block! #NBABreakdown
...
??: @brooklynnets/@sixers G5
?: 8:00pm/et ??: @nbaontnt"
404,"?? Straight Outta Comp10 ??
...
??: @spurs/@nuggets G5
?: 9:30pm/et ??: @nbatv"
405,"Ahead of tonight’s @nuggets #NBAPlayoffs action (9:30pm/et @nbatv), we showcase some of @jmglitxh27’s off-court style! #GameChangers"
406,We’ve got four Game 5s on @nbatv & @nbaontnt tonight! #NBAPlayoffs
407,The @bucks (4-0) advance to the Eastern Conference Semis & the @utahjazz (1-3) stay alive at home! #NBAPlayoffs
408,Poetry in Motion... @spidadmitchell ?? #PhantomCam
409,@spidadmitchell erupts for 19 in the 4th to extend the series for the @utahjazz! #NBAPlayoffs
410,The @utahjazz crowd drowns out @bossmann99! #NBAPlayoffs
411,"@spidadmitchell, very casual at the half! #NBAPlayoffs"
412,"@bossmann99 finishes, plus the foul for the @utahjazz! #NBAPlayoffs (??: @nbaontnt)"
413,The @bucks advance to the Eastern Conference Semis with 127-104 victory in Detroit! #NBAPlayoffs
414,@reggie_jackson crashes in for the MONSTER PUTBACK on TNT! #NBAPlayoffs
415,@giannis_an34 hangs for the finish on TNT! #NBAPlayoffs
416,"@ccapela15’s blocks & hustle sparks the @houstonrockets offense! #NBABreakdown
...
??: @houstonrockets/@utahjazz G4
?: 10:30pm/et
??: @nbaontnt"
417,"@thebledshow’s steal sets up the @giannis_an34 slam! #nbabreakdown ...
??: @bucks/@detroitpistons G4
?: 8:00pm/et ??: @nbaontnt"
418,"@ruuufio reads the defense to make a no look pass! #NBABreakdown
...
??: @houstonrockets/@utahjazz G4
?: 10:30pm/et
??: @nbaontnt"
419,?? The current #NBAPlayoffs Bracket!
420,"The @celtics (4-0), @warriors (3-1), @raptors (3-1) & @trailblazers (3-1) all WIN on the ROAD in Sunday’s #NBAPlayoffs action!"
421,@3jmccollum puts up 27 in the @trailblazers Game 4 road W! #NBAPlayoffs
422,The @trailblazers take 3-1 series lead over the @okcthunder with 111-98 victory in Oklahoma City! #NBAPlayoffs
423,@3jmccollum with the swipe & triple on TNT!
424,0????0?? #NBAPlayoffs
425,?? @damianlillard is heating up on TNT! #NBAPlayoffs
426,@ygtrece spins to the rack on TNT! #NBAPlayoffs
427,Kawhi puts up 34 to lead the @raptors in Game 4 victory! #NBAPlayoffs
428,The @raptors take 3-1 series lead over the @orlandomagic with 107-85 victory in Orlando! #NBAPlayoffs
429,@3tross1 launches from deep to beat the buzzer! #NBAPlayoffs (??: @nbaontnt)
430,???? @sergeibaka protects the paint for the @raptors! (??: @nbaontnt)
431,@easymoneysniper puts up 33 to lead @warriors in Game 4 victory! #NBAPlayoffs
432,@danilogallogallinari finds the open @trezz24 for the @laclippers! #NBAPlayoffs #NBAonABC
433,Congrats to @easymoneysniper of the @warriors for moving up to 13th on the #NBAPlayoffs SCORING list #BudweiserLegendaryMoments
434,@klaythompson opens up 7/7 from the field for the @warriors in LA! #NBAPlayoffs #NBAonABC
435,@gordonhayward puts up a team-high 20 in the @celtics series clincher! #NBAPlayoffs
436,The @celtics advance to the Eastern Conference Semis with 110-106 victory in Indianapolis! #NBAPlayoffs
437,@kyrieirving’s SAVE sets up the @jaytatum0 SLAM! #NBAPlayoffs
438,Poetry in motion... @turner_myles rises up! #PhantomCam
439,@kyrieirving dances into the @celtics jumper! #NBAPlayoffs #NBAonABC
440,@turner_myles takes flight for the POWERFUL SLAM! #NBAPlayoffs #NBAonABC
441,"@landryshamet creates space off the ball for the catch and shoot triples! #NBABreakdown ...
??: @warriors/@laclippers G4
?: 3:30pm/et ??: #NBAonABC"
442,"Boston sets screens and spaces the floor to open up the lane for @jaytatum0 to attack! #NBABreakdown! ??: @celtics/@pacers G4
?: 1:00pm/et ??: #NBAonABC"
443,8 teams hit the floor in Sunday’s #NBAPlayoffs action on ABC & TNT!
444,"The @sixers (3-1), @nuggets (2-2), @bucks (3-0) & @houstonrockets all WIN on the ROAD in Saturday’s #NBAPlayoffs action!"
445,The @houstonrockets take 3-0 series lead over the @utahjazz with 104-101 victory in Utah! #NBAPlayoffs
446,@cp3 with the ball-fake & bucket late on ESPN! #NBAPlayoffs
447,@rolls_royce00 breaks free in transition for the @utahjazz! #NBAPlayoffs (??: ESPN)
448,@spidadmitchell with the early SLAM & TRIPLE for the @utahjazz! #NBAPlayoffs (??: ESPN)
449,@thebledshow uses his dribble to the rack on ESPN! #NBAPlayoffs
450,The @nuggets even their series with the @spurs 2-2 on 117-103 victory in San Antonio! #NBAPlayoffs
451,??@demar_derozan down the lane with authority??#NBAPlayoffs
452,"?? The Floor General! ??
...
??: @houstonrockets/@utahjazz G3
?: 10:30pm/et ??: @espn"
453,@jmglitxh27 cuts for the @nuggets slam! #NBAPlayoffs (??: @nbaontnt)
454,"The Milwaukee defense leads to the @giannis_an34 JAM! #NBABreakdown
...
??: @bucks/@detroitpistons G3
?: 8:00pm/et ??: @espn"
455,@aldridge_121 leaps for the ?? PUTBACK! #NBAPlayoffs (??: @nbaontnt)
456,"@joelembiid fills the statsheet with 31 points, 16 rebounds, 7 assists & 6 blocks to lead the @sixers! #NBAPlayoffs"
457,The @sixers take 3-1 series lead over the @brooklynnets with 112-108 victory in Brooklyn! #NBAPlayoffs
458,@mikescottva’s corner triple puts the @sixers up for good in Game 4! #NBAPlayoffs
459,"???? “A Greek Basketball God” ??
...
??: @bucks/@detroitpistons G3
?: 8:00pm/et ??: @espn"
460,@bensimmons on the move! #NBAPlayoffs (??: @nbaontnt)
461,@carislevert with the behind-the-back dime! #NBAPlayoffs (??: @nbaontnt)
462,@_bigjayy_ & @carislevert each throw it down for the @brooklynnets early! #NBAPlayoffs (??: @nbaontnt)
463,"From @nbagleague champion with the @spurs_austin last season to leading the @spurs in the #NBAPlayoffs this season, @dwhite921! ...
??: @nuggets/@spurs G4
?: 5:30pm/et ??: @nbaontnt"
464,"?? @dwhite921, the @spurs breakout star of the #NBAPlayoffs! ...
??: @nuggets/@spurs G4
?: 5:30pm/et ??: @nbaontnt"
465,"?? @tobiasharris mic’d up in Game 3! ??
...
??: @sixers/@brooklynnets G4
?: 3:00pm/et ??: @nbaontnt"
466,8 teams hit the floor in Saturday’s #NBAPlayoffs action on TNT & ESPN!
467,"The @raptors (2-1), @celtics (3-0) & @okcthunder (1-2) each WIN on Friday night! #NBAPlayoffs"
468,The @okcthunder (1-2) defeat the @trailblazers 120-108 in Game 3 victory at home! #NBAPlayoffs
469,23 points on 8/9 from the field for @fchwpo leads the @celtics in Game 3 victory! #NBAPlayoffs
470,The @celtics take 3-0 series lead over @pacers with 104-96 victory in Indianapolis! #NBAPlayoffs
471,???? not in @russwest44’s house! ????
472,A second fan wins 20K in OKC tonight!!
473,One more shot... and it’s good!
474,The @raptors take 2-1 series lead over @orlandomagic with 98-93 victory in Orlando! #NBAPlayoffs
475,@kyle_lowry7 ?? @pskills43
476,@kyrieirving with the @celtics chasedown!! #NBAPlayoffs #NBAonABC
477,@3tross1 lets it fly to beat the buzzer on ESPN! #NBAPlayoffs
478,"?? The Rise of @jaytatum0! ??
...
??: @celtics/@pacers G3
?: 8:30pm/et ??: #NBAonABC"
479,"@kyle_lowry7 on both ends.. with the block & assist! #NBABreakdown
...
??: @raptors/@orlandomagic G3
?: 7:00pm/et ??: @nbaonespn"
480,Tonight’s #NBAPlayoffs action tips off at 7:00pm/et on ESPN!
481,"The @sixers, @spurs & @warriors each WIN for 2-1 series leads! #NBAPlayoffs"
482,???? Denied! ????
483,TWENTY-SEVEN first-half points for @easymoneysniper on TNT! #NBAPlayoffs
484,@klaythompson cuts backdoor for the SLAM on TNT! #NBAPlayoffs
485,?? @dwhite921’s #NBAPlayoffs career-high 36 leads the @spurs in Game 3 victory!
486,The @spurs take 2-1 series lead over @nuggets with 118-108 victory at home! #NBAPlayoffs
487,The @sixers take 2-1 series lead over @brooklynnets with 131-115 victory in Brooklyn! #NBAKicks
488,@demar_derozan takes it STRONG baseline for the @spurs on @nbatv!
489,@bensimmons flushes it home for the @sixers!
490,@dwhite921 puts the ?? on his 26-pt first half for the @spurs on @nbatv!
491,@bensimmons ends the first half on TNT with a BANG! #NBAPlayoffs
492,@jimmybutler fakes his way to the bucket for the @sixers! #NBAPlayoffs (??: @nbaontnt)
493,"?? The Comeback Story! ??
...
??: @warriors/@laclippers G3
?: 10:30pm/et ?: @nbaontnt"
494,"?? Loading... ??
...
??: @sixers/@brooklynnets G3
?: 8:00pm/et ??: @nbaontnt"
495,"In tonight’s #NBAPlayoffs action, the @sixers, @brooklynnets, @nuggets, @spurs, @warriors & @laclippers all have a chance to go up 2-1! #NBAPlayoffs"
496,?? #NBAPlayoffs ??
497,"The @celtics, @bucks and @houstonrockets each go up 2-0 with WINS on Wednesday night! #NBAPlayoffs"
498,The @houstonrockets take 2-0 series lead over @utahjazz with 118-98 home W! #NBAPlayoffs
